"YN_L1";"YN_L2";"YN_L3";"YN_L4";"YN_L5";"YN_L6";"YN_L7";"YN_L8";"YN_L9";"YN_L10";"YN_L11"
1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844;2,805337782;3,067187228;-0,083058057;-1,141413122;2,099883826
2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844;2,805337782;3,067187228;-0,083058057;-1,141413122
1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844;2,805337782;3,067187228;-0,083058057
0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844;2,805337782;3,067187228
1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844;2,805337782
1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136;2,230279844
0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398;5,036275136
2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491;7,395084398
6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964;4,718530491
8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205;1,461135964
5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104;1,063813205
4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959;2,023199104
5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091;1,451752959
5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231;0,922615091
2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214;1,925537231
-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959;1,446891214
-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604;0,315142959
0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253;2,494888604
0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055;6,86049253
1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709;8,588201055
2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329;5,9124709
2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498;4,301859329
-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484;5,580240498
-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066;5,702408484
2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549;2,625569066
5,68098687;2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618;-0,998263549
5,207739585;5,68098687;2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298;-0,913878618
2,183230515;5,207739585;5,68098687;2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866;0,606238298
0,0677207080000002;2,183230515;5,207739585;5,68098687;2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971;0,943874866
-2,076279949;0,0677207080000002;2,183230515;5,207739585;5,68098687;2,619215873;-0,501205402;-0,0380463479999999;2,516839599;2,323108396;1,184052971
