"YM_L1";"YM_L2";"YM_L3";"YM_L4";"YM_L5";"YM_L6";"YM_L7";"YM_L8";"YM_L9";"YM_L10";"YM_L11"
-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325;-18,381451194;-22,108087238;0,0515775549999987;20,18612188;9,577205685
3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325;-18,381451194;-22,108087238;0,0515775549999987;20,18612188
15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325;-18,381451194;-22,108087238;0,0515775549999987
17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325;-18,381451194;-22,108087238
4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325;-18,381451194
-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414;-1,76516325
-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246;4,29333414
-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012;0,413893246
2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411;-1,672418012
2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336;-1,414480411
2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832;-1,50858336
1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814;3,922289832
-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714;15,398548814
0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901;17,815364714
17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638;4,06076901
20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952;-10,683494638
-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733;-10,321196952
-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076;-1,015910733
-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222;2,890509076
11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144;2,159905222
12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234;2,88324144
1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597;1,24006234
-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001;-3,817837597
-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211;0,946701822000001
-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495;17,506103211
3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179;20,43074495
19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041;-1,48187179
21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447;-19,576010041
0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775;-8,937701447
-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258;11,484488775
-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707;12,898963258
5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513;1,477639707
8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953;-3,70750513
-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164;-3,39600953
-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451;-3,583569164
-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989;3,774621451
-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303;19,503340989
3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143;21,328845303
14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288;0,429097143
14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195;-18,119414288
-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367;-11,870433195
-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916;5,303815367
-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115;8,681726916
-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877;-0,10627115
5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058;-6,930480877
3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823;-8,321093058
-1,505703621;3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183;-5,583704823
-6,155922966;-1,505703621;3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747;3,51952183
-8,050786883;-6,155922966;-1,505703621;3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447;14,880735747
-1,633836101;-8,050786883;-6,155922966;-1,505703621;3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464;14,447169447
10,845808188;-1,633836101;-8,050786883;-6,155922966;-1,505703621;3,105824555;5,085183398;-0,455744343;-11,163736072;-13,226002701;-0,267230464
