"YN_L1";"YN_L2";"YN_L3";"YN_L4";"YN_L5";"YN_L6";"YN_L7";"YN_L8";"YN_L9";"YN_L10";"YN_L11"
1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335;10,20042218;8,103462364;2,147221787;1,66392466;5,167071054
3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335;10,20042218;8,103462364;2,147221787;1,66392466
2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335;10,20042218;8,103462364;2,147221787
1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335;10,20042218;8,103462364
4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335;10,20042218
8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111;6,948810335
8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603;6,4974111
8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595;8,458897603
11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923;6,741729595
14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296;2,912888923
11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335;1,986428296
6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173;3,948736335
4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805;2,898644173
4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835;1,23775805
3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744;4,420425835
-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014;8,307383744
0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504;8,903344014
2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859;8,407359504
3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553;11,162351859
1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384;14,168441553
1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395;11,614879384
5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949;6,927428395
5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866;4,581976949
4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364;4,788529866
4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999;3,231807364
5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353;-0,0543886829999999
3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694;0,270174353
-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465;2,929346694
-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623;3,460714465
-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994;1,146006623
-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472;1,821902994
-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522;5,136055472
-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183;5,642940522
-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388;4,706534183
-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578;4,802446388
-3,046895499;-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636;5,748707578
-0,560605344;-3,046895499;-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584;3,131459636
2,002399808;-0,560605344;-3,046895499;-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548;-2,357975584
0,598451418;2,002399808;-0,560605344;-3,046895499;-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599;-4,880921548
-0,649176459;0,598451418;2,002399808;-0,560605344;-3,046895499;-2,457097263;-2,835852167;-6,331628249;-7,811502223;-6,094661702;-5,100303599
