"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256;-6,377526987;-5,727754328;-3,327082397;-0,355117949;1,939145284
-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256;-6,377526987;-5,727754328;-3,327082397;-0,355117949
-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256;-6,377526987;-5,727754328;-3,327082397
-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256;-6,377526987;-5,727754328
-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256;-6,377526987
-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488;-7,854759256
-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584;-8,116763488
-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208;-6,893128584
-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287;-5,659216208
-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447;-6,051846287
-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431;-7,570805447
-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451;-9,044716431
-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555;-11,212581451
-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606;-11,188432555
-15,108231855;-14,130765035;-11,800398119;-9,976163288;-9,82326904;-10,084052518;-9,597487364;-11,400966249;-12,407690233;-13,110589028;-12,862826606
