"YS_L1";"YS_L2";"YS_L3";"YS_L4";"YS_L5";"YS_L6";"YS_L7";"YS_L8";"YS_L9";"YS_L10";"YS_L11"
-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317;18,156969699;17,102868128;-2,238877883;-0,0661334530000008;14,69419776
2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317;18,156969699;17,102868128;-2,238877883;-0,0661334530000008
2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317;18,156969699;17,102868128;-2,238877883
-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317;18,156969699;17,102868128
-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317;18,156969699
6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577;3,837000317
7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665;0,814124577
-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327;7,612683665
-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815;5,573291327
11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792;-5,061118815
11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746;-5,970682792
-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138;2,270543746
-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856;2,671556138
3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148;-4,22021856
5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163;-3,241875148
-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028;6,550479163
-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585;7,589598028
8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197;-0,99793585
11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473;-0,465426197
-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762;11,017711473
-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148;11,740691762
-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185;-3,312099148
-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169;-7,828207185
-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878;3,35222169
-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557;5,098368878
1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648;-5,887383557
1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688;-6,171025648
-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267;8,260262688
-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563;11,383175267
2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701;-0,624590563
0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509;-5,436761701
-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651;-1,338172509
-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008;-1,708728651
-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786;-7,035013008
-2,95367562;-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093;-5,410733786
-9,287130361;-2,95367562;-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178;1,45869093
-8,566993876;-9,287130361;-2,95367562;-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248;1,313351178
-2,075575828;-8,566993876;-9,287130361;-2,95367562;-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653;-3,748793248
-2,191178435;-2,075575828;-8,566993876;-9,287130361;-2,95367562;-1,62301358;-6,190664551;-6,497946027;0,279544066;2,187881602;-3,145799653
