"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046;-0,023;0,133;-0,291;-0,327;-0,362
-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046;-0,023;0,133;-0,291;-0,327
0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046;-0,023;0,133;-0,291
-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046;-0,023;0,133
-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046;-0,023
-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584;-0,046
-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348;0,584
0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057;0,348
-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186;-0,057
0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616;0,186
-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242;-0,616
-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246;-0,242
-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08;-0,246
0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049;0,08
0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088;-0,049
-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688;-0,088
-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316;-0,688
0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14;-0,316
-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149;0,14
0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2;-0,149
-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005;0,2
0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115;-0,005
-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768;-0,115
0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246;-0,768
-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407;0,246
-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116;0,407
-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337;-0,116
0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285;-0,337
0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303;0,285
-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123;-0,303
-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036;0,123
0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338;-0,036
0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564;0,338
0,649;0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087;-0,564
0,082;0,649;0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525;0,087
0,219;0,082;0,649;0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312;-0,525
0,371;0,219;0,082;0,649;0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664;-0,312
-0,348;0,371;0,219;0,082;0,649;0,81;0,237;-0,348;-0,115;0,081;0,47;-0,664
0,059;-0,348;0,371;0,219;0,082;0,649;0,81;0,237;-0,348;-0,115;0,081;0,47
-0,206;0,059;-0,348;0,371;0,219;0,082;0,649;0,81;0,237;-0,348;-0,115;0,081
0,481;-0,206;0,059;-0,348;0,371;0,219;0,082;0,649;0,81;0,237;-0,348;-0,115
0,358;0,481;-0,206;0,059;-0,348;0,371;0,219;0,082;0,649;0,81;0,237;-0,348
0,31;0,358;0,481;-0,206;0,059;-0,348;0,371;0,219;0,082;0,649;0,81;0,237
0,465;0,31;0,358;0,481;-0,206;0,059;-0,348;0,371;0,219;0,082;0,649;0,81
0,017;0,465;0,31;0,358;0,481;-0,206;0,059;-0,348;0,371;0,219;0,082;0,649
0,159;0,017;0,465;0,31;0,358;0,481;-0,206;0,059;-0,348;0,371;0,219;0,082
0,61;0,159;0,017;0,465;0,31;0,358;0,481;-0,206;0,059;-0,348;0,371;0,219
0,303;0,61;0,159;0,017;0,465;0,31;0,358;0,481;-0,206;0,059;-0,348;0,371
0,272;0,303;0,61;0,159;0,017;0,465;0,31;0,358;0,481;-0,206;0,059;-0,348
-0,076;0,272;0,303;0,61;0,159;0,017;0,465;0,31;0,358;0,481;-0,206;0,059
0,454;-0,076;0,272;0,303;0,61;0,159;0,017;0,465;0,31;0,358;0,481;-0,206
0,422;0,454;-0,076;0,272;0,303;0,61;0,159;0,017;0,465;0,31;0,358;0,481
-0,11;0,422;0,454;-0,076;0,272;0,303;0,61;0,159;0,017;0,465;0,31;0,358
0,664;-0,11;0,422;0,454;-0,076;0,272;0,303;0,61;0,159;0,017;0,465;0,31
0,554;0,664;-0,11;0,422;0,454;-0,076;0,272;0,303;0,61;0,159;0,017;0,465
0,005;0,554;0,664;-0,11;0,422;0,454;-0,076;0,272;0,303;0,61;0,159;0,017
0,181;0,005;0,554;0,664;-0,11;0,422;0,454;-0,076;0,272;0,303;0,61;0,159
0,132;0,181;0,005;0,554;0,664;-0,11;0,422;0,454;-0,076;0,272;0,303;0,61
0,034;0,132;0,181;0,005;0,554;0,664;-0,11;0,422;0,454;-0,076;0,272;0,303
-0,538;0,034;0,132;0,181;0,005;0,554;0,664;-0,11;0,422;0,454;-0,076;0,272
-0,33;-0,538;0,034;0,132;0,181;0,005;0,554;0,664;-0,11;0,422;0,454;-0,076
-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005;0,554;0,664;-0,11;0,422;0,454
0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005;0,554;0,664;-0,11;0,422
0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005;0,554;0,664;-0,11
-0,142;0,604;0,31;-0,063;-0,33;-0,538;0,034;0,132;0,181;0,005;0,554;0,664
