Date;Y
9/1988;0,053
10/1988;0,017
11/1988;0,099
12/1988;-0,019
1/1989;-0,051
2/1989;0,143
3/1989;0,226
4/1989;-0,050
5/1989;0,207
6/1989;0,309
7/1989;0,216
8/1989;0,290
9/1989;-0,025
10/1989;-0,301
11/1989;-0,176
12/1989;-0,320
1/1990;-0,719
2/1990;-0,361
3/1990;-0,111
4/1990;0,114
5/1990;0,108
6/1990;-0,172
7/1990;-0,178
8/1990;-0,767
9/1990;-0,936
10/1990;-0,981
11/1990;-0,820
12/1990;-0,630
1/1991;-0,958
2/1991;-0,428
3/1991;-0,166
4/1991;0,056
5/1991;0,185
6/1991;0,468
7/1991;0,185
8/1991;-0,129
9/1991;-0,368
10/1991;-0,565
11/1991;-0,556
12/1991;-0,495
1/1992;-0,325
2/1992;-0,311
3/1992;-0,032
4/1992;0,080
5/1992;0,285
6/1992;0,089
7/1992;-0,187
8/1992;-0,108
9/1992;-0,299
10/1992;-0,392
11/1992;-0,221
12/1992;-0,324
1/1993;-0,333
2/1993;-0,239
3/1993;-0,132
4/1993;0,099
5/1993;0,172
6/1993;0,594
7/1993;0,315
8/1993;0,143
9/1993;-0,019
10/1993;-0,347
11/1993;-0,190
12/1993;-0,096
1/1994;0,076
2/1994;-0,223
3/1994;-0,090
4/1994;0,331
5/1994;0,499
6/1994;0,375
7/1994;0,137
8/1994;0,088
9/1994;-0,083
10/1994;-0,213
11/1994;-0,359
12/1994;-0,179
1/1995;-0,265
2/1995;-0,220
3/1995;-0,077
4/1995;0,101
5/1995;0,246
6/1995;0,368
7/1995;0,298
8/1995;0,081
9/1995;0,035
10/1995;-0,273
11/1995;-0,115
12/1995;-0,335
1/1996;-0,329
2/1996;-0,192
3/1996;0,025
4/1996;0,262
5/1996;0,407
6/1996;0,541
7/1996;0,233
8/1996;0,176
9/1996;-0,214
10/1996;-0,389
11/1996;-0,265
12/1996;-0,194
1/1997;-0,082
2/1997;-0,131
3/1997;0,270
4/1997;0,389
5/1997;0,689
6/1997;0,498
7/1997;0,457
8/1997;0,280
9/1997;-0,056
10/1997;-0,017
11/1997;0,255
12/1997;0,272
1/1998;0,313
2/1998;0,293
3/1998;0,558
4/1998;0,649
5/1998;0,780
6/1998;0,997
7/1998;0,488
8/1998;0,462
9/1998;0,436
10/1998;0,051
11/1998;0,210
12/1998;0,167
1/1999;0,150
2/1999;0,343
3/1999;0,600
4/1999;0,396
5/1999;0,910
6/1999;1,015
7/1999;0,591
8/1999;0,542
9/1999;0,154
10/1999;0,269
11/1999;0,231
12/1999;0,165
1/2000;0,180
2/2000;0,256
3/2000;0,457
4/2000;1,137
5/2000;1,042
6/2000;0,768
7/2000;0,573
8/2000;0,760
9/2000;0,145
10/2000;0,416
11/2000;0,381
12/2000;0,308
1/2001;-0,096
2/2001;0,236
3/2001;0,675
4/2001;0,596
5/2001;0,592
6/2001;0,771
7/2001;0,873
8/2001;0,677
9/2001;0,754
10/2001;-0,165
11/2001;0,203
12/2001;0,291
1/2002;0,238
2/2002;0,246
3/2002;0,590
4/2002;0,662
5/2002;1,251
6/2002;1,145
7/2002;0,879
8/2002;0,643
9/2002;0,431
10/2002;0,330
11/2002;0,301
12/2002;0,305
1/2003;0,095
2/2003;0,106
3/2003;0,507
4/2003;1,078
5/2003;1,144
6/2003;0,939
7/2003;0,768
8/2003;0,637
9/2003;0,501
10/2003;0,642
11/2003;0,444
12/2003;0,400
1/2004;0,384
2/2004;0,724
3/2004;1,280
4/2004;1,260
5/2004;1,139
6/2004;1,176
7/2004;1,109
8/2004;0,913
9/2004;0,642
10/2004;0,337
11/2004;0,379
12/2004;0,689
1/2005;0,785
2/2005;0,836
3/2005;1,326
4/2005;1,182
5/2005;1,456
6/2005;1,385
7/2005;0,779
8/2005;0,640
9/2005;-0,006
10/2005;0,482
11/2005;0,723
12/2005;0,241
1/2006;-0,084
2/2006;0,311
3/2006;0,493
4/2006;0,028
5/2006;0,128
6/2006;-0,156
7/2006;-0,309
8/2006;-0,424
9/2006;0,150
10/2006;0,160
11/2006;-0,264
12/2006;-0,574
1/2007;-0,613
2/2007;-0,446
3/2007;-0,519
4/2007;-0,268
5/2007;-0,426
6/2007;-0,400
7/2007;-0,455
8/2007;-0,487
9/2007;-1,005
10/2007;-1,196
11/2007;-1,871
12/2007;-1,279
1/2008;-1,565
2/2008;-1,307
3/2008;-1,050
4/2008;-0,533
5/2008;-0,609
6/2008;-1,012
7/2008;-0,959
8/2008;-0,790
9/2008;-1,533
10/2008;-1,051
11/2008;-0,775
12/2008;-1,726
1/2009;-2,120
2/2009;-1,353
3/2009;-0,641
4/2009;0,149
5/2009;0,728
6/2009;0,500
7/2009;0,622
8/2009;-0,344
9/2009;-0,855
10/2009;-1,077
11/2009;-0,685
12/2009;-0,923
1/2010;-1,358
2/2010;-1,349
3/2010;0,236
4/2010;1,195
5/2010;1,087
6/2010;0,493
7/2010;-0,180
8/2010;-0,910
9/2010;-1,349
10/2010;-1,345
11/2010;-1,118
12/2010;-1,066
1/2011;-1,436
2/2011;-1,220
3/2011;-0,365
4/2011;0,566
5/2011;0,791
6/2011;0,906
7/2011;0,109
8/2011;-0,627
9/2011;-1,289
10/2011;-1,265
11/2011;-1,474
12/2011;-1,159
1/2012;-1,083
2/2012;-0,349
3/2012;1,196
4/2012;1,770
5/2012;1,955
6/2012;1,541
7/2012;0,736
8/2012;-0,043
9/2012;-0,543
10/2012;-0,566
11/2012;0,063
12/2012;-0,048
1/2013;0,115
2/2013;0,221
3/2013;2,042
4/2013;2,092
5/2013;1,833
6/2013;1,440
7/2013;1,058
8/2013;0,544
9/2013;0,134
10/2013;-0,244
11/2013;-0,278
12/2013;-0,251
1/2014;-0,132
2/2014;0,258
3/2014;0,620
4/2014;0,904
5/2014;0,873
6/2014;0,810
7/2014;0,403
8/2014;0,200
9/2014;-0,149
10/2014;-0,173
11/2014;-0,074
12/2014;0,037
1/2015;0,340
2/2015;0,068
3/2015;0,678
4/2015;1,032
5/2015;0,859
6/2015;0,732
7/2015;0,518
8/2015;0,253
9/2015;0,211
10/2015;0,020
11/2015;-0,006
12/2015;0,068
1/2016;-0,097
2/2016;0,201
3/2016;0,519
4/2016;0,736
5/2016;0,881
6/2016;0,678
7/2016;0,563
8/2016;0,198
9/2016;-0,014
10/2016;-0,178
11/2016;0,079
12/2016;-0,088
1/2017;-0,235
2/2017;0,113
3/2017;0,859
4/2017;0,798
5/2017;1,080
6/2017;0,799
7/2017;0,625
8/2017;0,216
9/2017;-0,176
10/2017;-0,024
11/2017;0,012
12/2017;0,095
1/2018;-0,200
2/2018;0,195
3/2018;0,684
4/2018;0,777
5/2018;0,731
6/2018;0,655
7/2018;0,364
8/2018;0,125
9/2018;-0,187
10/2018;-0,209
11/2018;-0,196
12/2018;-0,166
1/2019;-0,182
2/2019;0,019
3/2019;0,382
4/2019;0,530
5/2019;0,734
6/2019;0,508
7/2019;0,220
8/2019;0,119
9/2019;0,011
10/2019;-0,194
11/2019;-0,014
12/2019;-0,138
1/2020;-0,123
2/2020;0,321
3/2020;1,167
4/2020;1,486
5/2020;0,422
6/2020;0,123
7/2020;0,524
8/2020;0,805
9/2020;1,066
10/2020;1,284
11/2020;1,069
12/2020;0,498
1/2021;0,529
2/2021;0,887
3/2021;1,498
4/2021;1,728
5/2021;1,711
6/2021;1,621
