"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434;-11,779600615;-8,986298605;-7,248246533;-6,177618204;-3,934688875
-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434;-11,779600615;-8,986298605;-7,248246533;-6,177618204
-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434;-11,779600615;-8,986298605;-7,248246533
-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434;-11,779600615;-8,986298605
-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434;-11,779600615
-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687;-13,948332434
-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939;-16,899475687
-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139;-19,329344939
-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814;-18,081561139
-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315;-18,522042814
-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568;-19,162435315
-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268;-19,97849568
-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815;-20,44568268
-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073;-20,810068815
-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646;-21,272485073
-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316;-22,686095646
-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352;-23,086752316
-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284;-24,208088352
-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219;-25,531731284
-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404;-24,705719219
-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913;-25,516163404
-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307;-25,287844913
-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399;-26,002719307
-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298;-27,752082399
-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346;-29,906550298
-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834;-31,625217346
-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138;-32,749009834
-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847;-33,409521138
-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213;-32,993474847
-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227;-31,953183213
-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988;-29,191421227
-9,206722582;-12,747923894;-16,430742154;-20,264900712;-22,288175302;-25,568462627;-28,00157089;-28,494970503;-27,071706461;-26,200805516;-27,571570988
