"YA_L1";"YA_L2";"YA_L3";"YA_L4";"YA_L5";"YA_L6";"YA_L7";"YA_L8";"YA_L9";"YA_L10";"YA_L11"
-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663;-1,352559309;-0,871755314;-1,170594992;-0,32232368;-0,297388959
0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663;-1,352559309;-0,871755314;-1,170594992;-0,32232368
1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663;-1,352559309;-0,871755314;-1,170594992
0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663;-1,352559309;-0,871755314
0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663;-1,352559309
-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972;-2,232886663
-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397;-0,691839972
-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309;-0,916355397
-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506;-1,035842309
-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118;-0,90892506
-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113;-0,047762118
0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193;0,716360113
0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449;1,529256193
0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104;0,715416449
-0,26914276;0,53661679;0,459017753;0,546942685;-0,289747216;-1,153798599;-1,623313179;-1,373488789;-0,977215041;-1,042702075;0,027542104
