"F1";"F1_L1";"F1_L2";"F1_L3";"F1_L4";"F1_L5";"F1_L6";"F1_L7";"F1_L8";"F1_L9";"F1_L10";"F1_L11";"F2";"F2_L1";"F2_L2";"F2_L3";"F2_L4";"F2_L5";"F2_L6";"F2_L7";"F2_L8";"F2_L9";"F2_L10";"F2_L11";"F3";"F3_L1";"F3_L2";"F3_L3";"F3_L4";"F3_L5";"F3_L6";"F3_L7";"F3_L8";"F3_L9";"F3_L10";"F3_L11";"F4";"F4_L1";"F4_L2";"F4_L3";"F4_L4";"F4_L5";"F4_L6";"F4_L7";"F4_L8";"F4_L9";"F4_L10";"F4_L11";"F5";"F5_L1";"F5_L2";"F5_L3";"F5_L4";"F5_L5";"F5_L6";"F5_L7";"F5_L8";"F5_L9";"F5_L10";"F5_L11";"F6";"F6_L1";"F6_L2";"F6_L3";"F6_L4";"F6_L5";"F6_L6";"F6_L7";"F6_L8";"F6_L9";"F6_L10";"F6_L11";"F7";"F7_L1";"F7_L2";"F7_L3";"F7_L4";"F7_L5";"F7_L6";"F7_L7";"F7_L8";"F7_L9";"F7_L10";"F7_L11";"F8";"F8_L1";"F8_L2";"F8_L3";"F8_L4";"F8_L5";"F8_L6";"F8_L7";"F8_L8";"F8_L9";"F8_L10";"F8_L11"
-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-2,81324739;-2,297963052;-1,712348824;-0,477510647;1,355383031;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;2,311478139;2,541169736;2,901480678;3,008647603;3,14318391;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;2,548237184;2,863028534;2,98424415;2,975742617;2,684343099;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,32054828;-0,862645208;-0,416180635;-0,425957333;-0,625340077;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;-0,143171927;0,224315226;0,627442422;0,863152833;1,193064552;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;0,389708391;0,527827801;1,382715493;1,782318247;2,243521478;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,531532198;-0,345299149;-0,447290022;-0,495841013;-0,1766815;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194;-1,063040739;-1,644346416;-1,503787506;-1,336256642;-1,344683545
-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-2,81324739;-2,297963052;-1,712348824;-0,477510647;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;2,311478139;2,541169736;2,901480678;3,008647603;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;2,548237184;2,863028534;2,98424415;2,975742617;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,32054828;-0,862645208;-0,416180635;-0,425957333;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;-0,143171927;0,224315226;0,627442422;0,863152833;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;0,389708391;0,527827801;1,382715493;1,782318247;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,531532198;-0,345299149;-0,447290022;-0,495841013;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194;-1,063040739;-1,644346416;-1,503787506;-1,336256642
-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-2,81324739;-2,297963052;-1,712348824;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;2,311478139;2,541169736;2,901480678;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;2,548237184;2,863028534;2,98424415;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,32054828;-0,862645208;-0,416180635;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;-0,143171927;0,224315226;0,627442422;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;0,389708391;0,527827801;1,382715493;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,531532198;-0,345299149;-0,447290022;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194;-1,063040739;-1,644346416;-1,503787506
-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-2,81324739;-2,297963052;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;2,311478139;2,541169736;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;2,548237184;2,863028534;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,32054828;-0,862645208;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;-0,143171927;0,224315226;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;0,389708391;0,527827801;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,531532198;-0,345299149;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194;-1,063040739;-1,644346416
-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-2,81324739;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;2,311478139;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;2,548237184;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,32054828;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;-0,143171927;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;0,389708391;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,531532198;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194;-1,063040739
-3,256685984;-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-3,008451985;-0,060624413;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;1,859843689;0,680862356;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;2,434975087;-1,308025744;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,198173306;-0,787458659;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;-0,417240077;0,230207566;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;0,289403993;-1,311042327;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,386453686;-0,520494272;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155;-1,208514194
-3,641342493;-3,256685984;-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-2,793272784;-0,228643788;-0,060624413;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;1,492477432;0,645180539;0,680862356;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;2,446514072;-1,605510827;-1,308025744;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,646386083;-0,770769111;-0,787458659;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;-0,661445816;0,060750871;0,230207566;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-0,289745105;-1,474253733;-1,311042327;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,312794832;-0,55538412;-0,520494272;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644;-0,781439155
-3,791833505;-3,641342493;-3,256685984;-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-2,555260291;-0,389357257;-0,228643788;-0,060624413;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;1,646798509;0,530407689;0,645180539;0,680862356;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;2,068830904;-1,639853022;-1,605510827;-1,308025744;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,044883138;-0,950290762;-0,770769111;-0,787458659;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;-0,783873631;0,211959785;0,060750871;0,230207566;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-0,4599716;-1,40362797;-1,474253733;-1,311042327;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,362418802;-0,652176515;-0,55538412;-0,520494272;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233;-0,624973644
-3,97505705;-3,791833505;-3,641342493;-3,256685984;-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-2,435946383;-0,640759893;-0,389357257;-0,228643788;-0,060624413;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;1,341421442;0,31344326;0,530407689;0,645180539;0,680862356;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;1,888878721;-1,539332126;-1,639853022;-1,605510827;-1,308025744;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-1,317744573;-1,060017532;-0,950290762;-0,770769111;-0,787458659;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;-0,971158091;0,360349555;0,211959785;0,060750871;0,230207566;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-0,596014443;-1,252173476;-1,40362797;-1,474253733;-1,311042327;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,03122335;-0,727337463;-0,652176515;-0,55538412;-0,520494272;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012;-0,685453233
-4,148605431;-3,97505705;-3,791833505;-3,641342493;-3,256685984;-2,972805314;-2,731129913;-2,32730069;-2,254644442;-2,621642558;-2,661730009;-2,22151229;-0,854936302;-0,640759893;-0,389357257;-0,228643788;-0,060624413;0,214958193;0,342096366;0,636288358;0,545992254;0,909296766;0,89837252;1,087395321;0,259081563;0,31344326;0,530407689;0,645180539;0,680862356;0,614148058;0,684185105;0,530497166;0,9716229;1,397986795;1,706178648;1,711204134;-1,468275378;-1,539332126;-1,639853022;-1,605510827;-1,308025744;-1,066315991;-1,050876697;-0,847098327;-0,983548788;-1,532286978;-1,180361973;-1,172213428;-0,980073819;-1,060017532;-0,950290762;-0,770769111;-0,787458659;-0,885193755;-0,913958525;-1,01604083;-1,125165909;-0,686415606;-0,746234119;-1,048202318;0,462999319;0,360349555;0,211959785;0,060750871;0,230207566;0,225793797;0,128616211;0,090831081;-0,119175985;-0,375114066;-0,314009892;-0,379052752;-1,321911226;-1,252173476;-1,40362797;-1,474253733;-1,311042327;-1,454888496;-1,30859623;-1,241524548;-0,75437561;-0,591015131;-0,668115888;-0,397085903;-0,749001901;-0,727337463;-0,652176515;-0,55538412;-0,520494272;-0,247003394;-0,526848587;-0,585098892;-0,396688284;-0,530294421;-0,641061142;-0,664585012
