"YW_L1";"YW_L2";"YW_L3";"YW_L4";"YW_L5";"YW_L6";"YW_L7";"YW_L8";"YW_L9";"YW_L10";"YW_L11"
14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271;-2,464362212;4,072450988;13,243361059;5,188622925;-5,35330072
15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271;-2,464362212;4,072450988;13,243361059;5,188622925
15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271;-2,464362212;4,072450988;13,243361059
11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271;-2,464362212;4,072450988
9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271;-2,464362212
10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314;3,800801271
15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236;10,467523314
17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958;8,211971236
18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632;7,356063958
23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716;11,454471632
30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158;14,643305716
31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555;15,742491158
27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888;15,295435555
26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142;11,857543888
28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925;9,702276142
32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536;10,977961925
31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045;15,276952536
30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643;17,436804045
30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942;18,592218643
31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811;23,597694942
31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965;30,219240811
29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101;31,183630965
24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444;27,528217101
22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433;26,056291444
25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597;28,364298433
26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788;32,240595597
22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438;31,659917788
21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116;30,210843438
22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933;30,603064116
19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394;31,180642933
17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476;31,010163394
17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052;29,029688476
15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069;24,563232052
9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493;22,381433069
7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339;25,654116493
7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663;26,25694339
4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781;22,489127663
1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419;21,951338781
0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403;22,694178419
-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707;19,879049403
-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666;17,38662707
-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381;17,529123666
-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497;15,152271381
-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935;9,948481497
-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831;7,274518935
-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012;7,518482831
-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706;4,66068012
-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004;1,270614706
-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306;0,00322198900000004
-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805;-7,510852306
-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864;-14,976703805
-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029;-13,224946864
-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649;-13,542333029
-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733;-16,907024649
-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206;-17,038405733
-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897;-14,76709206
-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978;-13,945690897
-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412;-16,983594978
-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177;-21,164386412
-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659;-21,90898177
-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361;-24,028571659
-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884;-25,319495361
-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407;-22,243898884
-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479;-21,11138407
-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969;-19,402171479
-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815;-18,606238969
-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455;-21,951626815
-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621;-25,576805455
-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234;-26,603852621
-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813;-26,767824234
-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783;-25,882226813
-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668;-23,502605783
-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425;-20,603477668
-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215;-16,577103425
-12,464383108;-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025;-12,653627215
-9,576197545;-12,464383108;-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283;-9,619135025
-10,494304019;-9,576197545;-12,464383108;-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454;-13,727846283
-19,3940703;-10,494304019;-9,576197545;-12,464383108;-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373;-21,943196454
-17,264506268;-19,3940703;-10,494304019;-9,576197545;-12,464383108;-10,273830585;-11,182338168;-15,995018559;-16,254248196;-18,11421142;-23,069850373
