"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886;0,515;0,064;-0,181;-0,485;-0,98
-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886;0,515;0,064;-0,181;-0,485
-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886;0,515;0,064;-0,181
-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886;0,515;0,064
-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886;0,515
-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875;0,886
-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477;0,875
0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487;0,477
0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672;-0,487
0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104;-0,672
-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408;-1,104
-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215;-0,408
-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057;-0,215
0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825;-0,057
-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092;-0,825
-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864;-1,092
-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325;-0,864
0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191;-0,325
-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046;0,191
0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08;0,046
-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888;0,08
-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637;-0,888
-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115;-0,637
-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537;-0,115
-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001;0,537
-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168;-0,0460000000000001
-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355;-0,168
0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105;-0,355
-0,382;0,436;-0,113;-0,506;-1,501;-0,75;-1,002;-0,139;-0,262;0,425;-0,216;0,105
