Period;YA;YN;YM;YS;YW
1981M04;-1,921093473;-1,467604213;1,324611812;-3,852366443;1,580665261
1981M05;-2,113893814;-0,868566737;-0,133661762;-0,460051783;0,362610727
1981M06;-2,197380622;-1,249244217;-2,13625938;2,633903416;-1,722866774
1981M07;-3,204422995;-0,888789008;-1,361335356;1,510304057;-3,068157264
1981M08;-3,562648227;-0,919263038;0,575383098;-0,412482492;-2,007597013
1981M09;-3,51754636;-0,078476098;0,310941447;-0,98899315;-2,372706363
1981M10;-2,72100693;0,933953009;-1,065974401;-0,244167024;-4,524712404
1981M11;-2,741940131;-0,004922156;-1,203431344;-0,050009294;-1,290291744
1981M12;-1,219354185;-0,909111308;-0,421776536;-1,042283186;3,19538499
1982M01;-2,2390031;1,103200273;0,025963284;-0,932213588;-0,985455938
1982M02;-0,976785258;0,953282012;-0,053439356;-0,813184688;-3,218909309
1982M03;-1,156495893;-1,115419521;-0,743776716;-1,988137425;1,398408616
1982M04;-0,550328001;-1,230935834;-1,975581486;-2,417365093;4,615157451
1982M05;-2,984794759;-0,757428389;-2,829841772;0,32008798;-3,746100531
1982M06;-3,620644664;0,239843843;-1,350373678;1,776535455;-9,938216945
1982M07;-2,711023382;1,179611614;1,623043294;-0,635068896;-4,194811183
1982M08;-1,129539964;0,366643931;2,309564913;-2,517858699;2,94804194
1982M09;-0,237259035;0,704083568;-0,246921017;-0,327436047;-0,512743139
1982M10;-0,69773234;1,737761621;-2,254704286;2,767016092;-4,265482767
1982M11;1,092218427;-0,160317837;-2,093425466;1,7264026;3,522388647
1982M12;2,463464075;-0,743797703;-1,491129014;0,294392573;4,103892573
1983M01;1,302198212;2,348937537;-0,481033148;1,019153257;-3,176008461
1983M02;2,223746368;1,086340304;0,307428695;0,060216204;-0,330723746
1983M03;1,77160646;-2,016272355;-0,14651456;-0,996406518;0,480302142
1983M04;0,184953419;-1,218956471;-0,007459932;0,458944183;-4,28460883
1983M05;1,144468724;-1,40709055;0,486600171;1,880384711;-1,616536499
1983M06;0,976233582;-2,357445971;-0,957062016;1,789255991;-0,813246451
1983M07;0,45349241;-1,90297856;-2,076692325;0,900359076;-5,097033903
1983M08;0,871825828;-1,552250995;-0,662562289;0,079928077;-4,259655906
1983M09;0,980339797;-1,392152708;0,036358055;0,284868592;-1,852965467
1983M10;1,461713671;-1,308987605;-1,068700649;1,049086606;-1,346152802
1983M11;1,386994794;-1,581917874;-1,367802944;0,637110313;1,169571418
1983M12;1,705355573;-1,599903533;-0,842579078;-0,160186728;2,680206032
1984M01;-0,259291274;0,078126863;-1,387474154;1,229030621;-2,398207284
1984M02;-1,703948413;-1,410855196;-2,00322716;2,389462707;-4,899341981
1984M03;-0,578564339;-4,427418565;-0,892411205;1,14862768;-2,671763767
1984M04;-0,785805733;-4,050502488;1,58653661;0,207265189;-3,173764368
1984M05;0,382590115;-5,407799836;2,647017758;1,22578738;-2,008329692
1984M06;0,085584413;-6,497289417;0,235742326;2,086973707;-2,08590294
1984M07;-0,481151703;-3,887386462;-2,246156368;0,288160477;-3,757158832
1984M08;-0,434793546;-2,253377084;-0,808185249;-1,471136501;-0,814027672
1984M09;0,116963232;-1,744562043;1,152301943;0,574809379;1,033540462
1984M10;-0,303663257;-1,167528067;0,416866973;3,295692374;-1,195816266
1984M11;0,321936143;-2,847881854;-0,643991717;1,112062089;1,045501776
1984M12;0,213668592;-4,640940196;-0,704094849;-1,854679741;1,615546788
1985M01;-0,356929329;-2,423446056;-0,710824361;-0,763431515;-3,465967872
1985M02;-0,159653674;-2,309530257;-0,427614418;1,114561157;-6,077434006
1985M03;-0,231911322;-5,719966761;0,380426165;1,469395093;-2,896704706
1985M04;0,749553126;-6,531423953;-0,239603252;0,976898587;-0,145112573
1985M05;0,615550703;-5,287037734;-4,407921143;0,918782965;-3,080755618
1985M06;0,498160429;-4,550748861;-7,367948718;1,445263135;-3,631802443
1985M07;0,743339987;-4,163994419;-1,820581305;1,250268675;-1,157374714
1985M08;0,283980755;-4,332055469;6,413751706;-0,399969418;-1,77468679
1985M09;0,852794951;-5,454460151;5,588663377;-0,394822696;-2,842034434
1985M10;0,915670253;-6,492136953;-0,806833658;2,407227771;-0,636032239
1985M11;0,610988877;-5,693435619;-2,859686295;3,486213511;3,365306711
