CCV1;CCV2;CCV3;CCV4;CCV5;CCV6;CCV7;CCV8;CCV9;CCV10
5,890727221;8,520381165;4,68865478;0,396280868;346,5505463;2946,705442;1,183377443;1,088103436;1,353928441;4,283240121
6,055109404;8,586715979;4,936916402;0,395588128;1269,519163;2869,285979;5,301636192;1,075733139;1,369126291;4,132113728
5,881541451;8,636649422;4,448812752;0,418487202;619,2970344;2841,711994;5,642579819;1,437831851;2,258942435;5,070172046
5,916204999;8,795945581;4,384571905;0,388204463;1439,26362;2847,991109;6,887392868;2,135642108;2,638702488;4,785775206
5,7529205;8,773092563;4,778781513;0,39998839;716,8024268;2841,673963;7,373611968;2,052279621;2,963826004;4,138297211
5,870989621;8,488456797;5,436457048;0,481933196;241,2404774;2916,622258;10,84965147;11,81109249;10,2946984;6,143212968
6,313654175;8,577976717;6,083225179;0,357898129;245,380481;2969,848161;5,118423367;9,186533993;6,813482075;4,146994267
14,70180695;14,34389883;15,8335746;0,447575313;194,3062508;8289,852402;3,477226691;6,140979283;2,750405689;4,257590525
26,57329398;19,85568589;37,15223042;0,40201406;199,8980717;24705,23131;1,832470405;1,264139895;1,913090978;4,728244498
13,74592677;13,2049525;16,60385944;0,426636904;184,4361852;12171,42297;1,165403506;1,066596806;1,326191275;5,044316239
8,601329745;10,26999119;8,531896467;0,406435647;183,5523424;9312,89019;1,934550656;1,924520335;2,058345512;5,760001533
6,488911376;9,63059121;4,836764453;0,425447075;275,4546513;3784,187438;7,191650287;0,975123801;1,381061967;5,528603023
6,108283155;8,832638815;4,771998614;0,382479404;402,4421337;2933,270784;6,703435417;1,182433539;1,506671345;4,244956336
5,948536552;8,609124626;4,659274617;0,40626639;480,7650147;2955,620488;8,001298245;1,455190955;2,5323628;4,31808004
7,303043522;10,18265833;5,19272373;0,520798549;7226,462121;2852,204349;17,05296171;18,72459838;17,86014395;10,52658781
6,672346519;9,530709957;4,90294047;0,34655353;7573,541815;2853,321744;23,77771061;24,31131286;23,87502733;7,41441168
5,85243953;8,707826299;4,779327463;0,426205115;2277,778709;2853,431069;18,64822522;18,15403697;16,46246001;4,103728102
7,448830848;9,446938323;6,945042999;0,388627537;512,2540581;3897,214339;16,58122781;16,47887323;15,305948;4,137710635
7,217750125;9,569405136;6,048489839;0,424021252;216,5770591;3434,315198;21,39710342;21,94069832;21,61265347;6,326482478
6,10894227;8,771936207;4,752856302;0,387896273;187,6467063;5803,433263;26,68244106;27,24250942;23,522912;6,516844299
6,131221117;9,707426346;4,532511286;0,605158547;202,3613179;7844,267458;47,54878058;49,76999837;47,90402981;16,61004074
8,951088548;11,92899913;6,310695525;0,296455074;200,7269238;13242,8962;57,47949699;58,56684876;56,2148052;8,879031253
8,933791424;11,30818048;7,318930635;0,547632159;195,6086438;5748,128903;71,72780475;73,49209574;70,92578797;10,79225718
9,261343582;10,4164888;10,42490098;0,322935776;1162,836246;6430,901599;32,85227623;66,98584437;62,2748484;4,928789105
6,64867303;9,157706623;5,37395637;0,447855918;647,2383274;3387,998963;0,566395829;44,73534352;33,24967032;4,8983497
6,095967931;8,563740268;5,874495447;0,459757918;3538,499812;3258,816806;3,055565099;26,25349608;9,605352694;6,212586731
6,560234739;9,617610298;4,67872533;0,457128785;2394,419328;2880,434184;8,660472856;0,12378947;1,091746153;10,08333761
5,959598617;8,749562552;4,508029393;0,368073877;5086,373562;2842,802727;11,79530308;1,363429803;4,885801725;5,90083159
6,182538161;8,632799653;5,329708223;0,446579395;3684,058883;3080,633724;7,308826092;1,690459003;1,980080731;4,433505702
5,803735721;8,994633096;5,224403613;0,482820192;551,6759129;2955,270811;12,58800934;1,206905894;10,65183215;7,406834953
7,051268127;9,350303207;6,271378758;0,357274846;224,2492536;4939,046625;14,41470159;2,205516832;12,79285175;5,212161104
6,480283933;9,568489132;4,628384988;0,467425808;187,6490361;3184,666343;24,68875174;27,25178066;24,17007639;10,63619981
14,86755842;13,58251578;18,45751049;0,616517895;208,7259767;6362,623389;52,56802;55,29969526;51,55278074;24,35656091
10,81341555;12,70708801;9,093301724;0,286383894;222,6091175;6586,911961;66,20360744;67,70899365;63,98651009;11,3046197
6,608431779;9,68105006;4,900363277;0,456982712;367,6785357;3213,888859;61,48583216;61,36380982;56,33128913;4,931040717
15,80747319;14,80488578;18,03653387;0,373578304;793,0335027;14332,99643;64,7686424;65,62640021;62,42110923;6,849666957
